"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aliaksei Protas","21-22","WSH","C",33,352.18,55.45,54.65,54.68,54.34,53.55,2.75,2.21,28.63,23.76,41.88,34.72,57.37,48.21,2.43,2.11,0.54,4.87,7.17,9.16,0.32,9.6,90.71
"Anders Bjork","21-22","BUF","L",51,575.82,31.61,38.48,38.45,40.27,37.03,1.35,2.91,21.59,34.52,29.3,46.89,40.67,60.32,1.46,2.48,-1.57,-12.93,-17.6,-19.65,-1.02,6.23,91.57
"Anders Lee","21-22","NYI","C/L",58,775.55,49.66,48.06,47.03,47.94,50.79,3.26,3.31,31.52,34.06,41.85,47.13,56.76,61.64,2.89,2.8,-0.04,-2.54,-5.28,-4.88,0.09,10.35,90.29
"Andre Burakovsky","21-22","COL","L",64,874.83,55.23,55.28,55.84,57.42,54.41,3.74,3.03,38.43,31.09,51.97,41.1,72.32,53.64,2.84,2.38,0.71,7.34,10.87,18.68,0.46,9.74,90.24
"Andreas Athanasiou","21-22","L.A","C",22,273.27,54.31,49.1,49.81,48.71,48.71,2.73,2.29,28.37,29.41,41.54,41.86,53.16,55.98,2.44,2.57,0.43,-1.05,-0.32,-2.81,-0.13,9.61,92.2
"Andreas Johnsson","21-22","N.J","L",60,775.4,53.25,50.46,49.36,49.77,51.84,3.45,3.03,33.48,32.87,45.2,46.38,59.99,60.54,3,2.79,0.42,0.61,-1.18,-0.55,0.21,10.3,90.79
"Andrei Svechnikov","21-22","CAR","R",63,838.4,60.23,54.83,54.64,56.07,54.84,3.33,2.2,36.41,29.99,51.37,42.65,68,53.28,3.35,2.76,1.13,6.42,8.72,14.72,0.59,9.15,92.67
"Andrej Sekera","21-22","DAL","D",28,356.07,40.45,44.63,44.86,43.72,47.76,1.53,2.25,25.32,31.41,36.98,45.46,48.59,62.54,2.12,2.32,-0.72,-6.09,-8.48,-13.95,-0.2,6.03,92.84
"Andrej Sustr","21-22","ANA","D",8,126.92,32.55,43.9,40.75,40.74,49.17,0.92,1.91,25.16,32.16,33.87,49.24,44.59,64.86,2.51,2.6,-0.99,-6.99,-15.37,-20.27,-0.09,3.66,94.06
"Andrej Sustr","21-22","T.B","D",15,156.3,45.26,44.46,43.18,44.86,42.11,1.94,2.35,24.99,31.22,33.36,43.91,45.71,56.19,1.87,2.56,-0.41,-6.23,-10.55,-10.48,-0.7,7.77,92.47
