Player,Season,Team,Position,GP,TOI,G,A1,A2,Points,iSF,iFF,iCF,ixG,Sh%,FSh%,xFSh%,iBLK,GIVE,TAKE,iHF,iHA,iPENT2,iPEND2,iPENT5,iPEND5,iPEN±,FOW,FOL,FO±
Yakov Trenin,20-21,NSH,C,45,519.77,5,5,1,11,62,91,106,5.94,8.06,5.49,6.53,21,13,10,94,37,11,4,0,0,-7,4,8,-4
Yanni Gourde,20-21,T.B,C,56,955.75,17,17,2,36,118,151,182,15.39,14.41,11.26,10.19,21,13,18,51,95,12,14,2,2,2,316,333,-17
Yegor Sharangovich,20-21,N.J,C,54,907.6,16,6,8,30,114,167,212,11.73,14.04,9.58,7.02,20,37,38,20,36,2,14,0,0,12,26,66,-40
Zac Dalpe,20-21,CBJ,C,12,127.48,2,0,1,3,22,25,31,1.72,9.09,8,6.88,8,2,5,11,8,0,1,0,0,1,18,22,-4
Zac Jones,20-21,NYR,D,10,149.83,0,1,3,4,12,15,23,0.4,0,0,2.67,8,10,1,8,11,1,0,0,0,-1,0,0,0
Zach Aston-Reese,20-21,PIT,C,45,657.55,9,1,5,15,79,97,119,8.36,11.39,9.28,8.62,24,16,14,95,64,5,3,1,1,-2,7,11,-4
Zach Bogosian,20-21,TOR,D,45,654.17,0,2,2,4,36,59,85,1.49,0,0,2.53,31,19,7,67,36,12,2,1,1,-10,0,0,0
Zach Hyman,20-21,TOR,C,43,832.65,15,7,11,33,115,151,183,16.58,13.04,9.93,10.98,21,17,17,69,110,14,13,0,1,0,18,37,-19
Zach Parise,20-21,MIN,L,45,627.25,7,6,5,18,90,113,121,9.98,7.78,6.19,8.83,20,13,12,18,35,3,11,0,0,8,34,48,-14
Zach Sanford,20-21,STL,L,52,774.13,10,3,3,16,67,102,125,9.02,14.93,9.8,8.84,44,11,12,69,67,10,10,1,1,0,28,40,-12
Zach Senyshyn,20-21,BOS,R,8,80.88,0,0,0,0,10,12,14,0.85,0,0,7.08,1,1,2,11,9,1,1,0,0,0,0,3,-3
Zach Werenski,20-21,CBJ,D,35,852.22,7,9,4,20,79,103,141,4.32,8.86,6.8,4.19,39,19,10,21,41,4,6,1,1,2,0,0,0
Zach Whitecloud,20-21,VGK,D,51,907.22,2,4,6,12,54,88,127,3.04,3.7,2.27,3.45,75,14,9,85,147,12,7,0,0,-5,0,0,0
Zack Kassian,20-21,EDM,R,27,319.62,2,3,0,5,18,30,38,2.85,11.11,6.67,9.5,3,7,3,73,18,5,0,1,1,-5,0,2,-2
Zack MacEwen,20-21,VAN,C,34,293.67,1,0,1,2,31,45,56,2.48,3.23,2.22,5.51,9,6,6,65,26,7,5,6,6,-2,4,4,0
Zdeno Chara,20-21,WSH,D,55,1006.27,2,4,4,10,67,97,148,1.95,2.99,2.06,2.01,67,32,14,88,33,12,4,2,2,-8,0,0,0
