,Team Name,Week Number,Home or Away,Fantasy Points,Opponent Team Name,Opponent Fantasy Points,Opponent Projected Points,Winner,Fantasy Points Rank
0,Lausanne  Automatons ,13,Home,176.6,Esther Island Esthers,167.45,-1,HOME,3.0
1,Vasili's POD SQUAD,13,Home,169.85,Brown Shoes w/ a Black Belt?,120.15,-1,HOME,4.0
2,Team Ginsberg,13,Home,179.65,DadKnows Best,78.9,-1,HOME,2.0
3,Baltimore Bandits,13,Home,146.05,HC FirePucks,134.45,-1,HOME,6.0
4,That Hoser Over There,13,Home,251.3,Carolina Tony,138.65,-1,HOME,1.0
0,Esther Island Esthers,13,Away,167.45,Lausanne  Automatons ,176.6,-1,HOME,5.0
1,Brown Shoes w/ a Black Belt?,13,Away,120.15,Vasili's POD SQUAD,169.85,-1,HOME,9.0
2,DadKnows Best,13,Away,78.9,Team Ginsberg,179.65,-1,HOME,10.0
3,HC FirePucks,13,Away,134.45,Baltimore Bandits,146.05,-1,HOME,8.0
4,Carolina Tony,13,Away,138.65,That Hoser Over There,251.3,-1,HOME,7.0
0,Team Ginsberg,14,Home,252.7,HC FirePucks,216.95,-1,HOME,1.0
1,That Hoser Over There,14,Home,251.35,Baltimore Bandits,204.0,-1,HOME,2.0
2,Carolina Tony,14,Home,249.7,Vasili's POD SQUAD,217.8,-1,HOME,3.0
3,DadKnows Best,14,Home,124.4,Lausanne  Automatons ,205.15,-1,AWAY,10.0
4,Esther Island Esthers,14,Home,236.25,Brown Shoes w/ a Black Belt?,236.5,-1,HOME,5.0
0,HC FirePucks,14,Away,216.95,Team Ginsberg,252.7,-1,HOME,7.0
1,Baltimore Bandits,14,Away,204.0,That Hoser Over There,251.35,-1,HOME,9.0
2,Vasili's POD SQUAD,14,Away,217.8,Carolina Tony,249.7,-1,HOME,6.0
3,Lausanne  Automatons ,14,Away,205.15,DadKnows Best,124.4,-1,AWAY,8.0
4,Brown Shoes w/ a Black Belt?,14,Away,236.5,Esther Island Esthers,236.25,-1,HOME,4.0
0,Baltimore Bandits,15,Home,170.05,Team Ginsberg,193.85,-1,AWAY,8.0
1,Vasili's POD SQUAD,15,Home,246.25,That Hoser Over There,232.15,-1,HOME,1.0
2,Lausanne  Automatons ,15,Home,244.05,Carolina Tony,192.2,-1,HOME,2.0
3,Brown Shoes w/ a Black Belt?,15,Home,204.15,DadKnows Best,129.7,-1,HOME,4.0
4,HC FirePucks,15,Home,200.55,Esther Island Esthers,164.3,-1,HOME,5.0
0,Team Ginsberg,15,Away,193.85,Baltimore Bandits,170.05,-1,AWAY,6.0
1,That Hoser Over There,15,Away,232.15,Vasili's POD SQUAD,246.25,-1,HOME,3.0
2,Carolina Tony,15,Away,192.2,Lausanne  Automatons ,244.05,-1,HOME,7.0
3,DadKnows Best,15,Away,129.7,Brown Shoes w/ a Black Belt?,204.15,-1,HOME,10.0
4,Esther Island Esthers,15,Away,164.3,HC FirePucks,200.55,-1,HOME,9.0
0,Team Ginsberg,16,Home,315.8,Vasili's POD SQUAD,227.65,-1,HOME,1.0
1,That Hoser Over There,16,Home,249.0,Lausanne  Automatons ,263.55,-1,AWAY,4.0
2,Carolina Tony,16,Home,237.95,Brown Shoes w/ a Black Belt?,205.9,-1,HOME,5.0
3,DadKnows Best,16,Home,134.5,HC FirePucks,164.5,-1,AWAY,10.0
4,Esther Island Esthers,16,Home,251.3,Baltimore Bandits,226.9,-1,HOME,3.0
0,Vasili's POD SQUAD,16,Away,227.65,Team Ginsberg,315.8,-1,HOME,6.0
1,Lausanne  Automatons ,16,Away,263.55,That Hoser Over There,249.0,-1,AWAY,2.0
2,Brown Shoes w/ a Black Belt?,16,Away,205.9,Carolina Tony,237.95,-1,HOME,8.0
3,HC FirePucks,16,Away,164.5,DadKnows Best,134.5,-1,AWAY,9.0
4,Baltimore Bandits,16,Away,226.9,Esther Island Esthers,251.3,-1,HOME,7.0
0,Lausanne  Automatons ,17,Home,160.2,Team Ginsberg,216.3,-1,AWAY,9.0
1,Brown Shoes w/ a Black Belt?,17,Home,171.3,That Hoser Over There,207.0,-1,AWAY,7.0
2,HC FirePucks,17,Home,246.0,Carolina Tony,253.15,-1,AWAY,2.0
3,Baltimore Bandits,17,Home,164.45,DadKnows Best,82.4,-1,HOME,8.0
4,Vasili's POD SQUAD,17,Home,209.0,Esther Island Esthers,172.6,-1,HOME,4.0
