,Team Name,Week Number,Home or Away,Fantasy Points,Opponent Team Name,Opponent Fantasy Points,Opponent Projected Points,Winner,Fantasy Points Rank,Points,+/-,A,ATOI,BLK,DEF,FOL,FOW,G,GA,GAA,GP,GS,GWG,HAT,HIT,L,MIN ?,OTL,PIM,PPG,PPP,SA,SHA,SHG,SHP,SO,SOG,SV,SV%,TTOI ?,W,FPPG,Over 3 FPPG,Over 4 FPPG,"Fantasy Points Rank, Whole Season"
34,Team Ginsberg,4,Home,251.1,That Hoser Over There,206.65,-1,HOME,2.0,251.1,7.0,34.0,24268.58333335,50.0,10.0,114.0,99.0,24.0,21.0,10.956829130000001,59.0,7.0,2.0,0.0,51.0,2.0,25472.0,1.0,42.0,10.0,17.0,201.0,0.0,0.0,0.0,0.0,163.0,180.0,3.61753023,69662.0,4.0,100.50000000000001,15.0,10.0,25.0
35,DadKnows Best,4,Away,158.45,Lausanne  Automatons ,152.85,-1,AWAY,9.0,158.45,-1.0,20.0,17027.33333334,27.0,5.0,73.0,99.0,15.0,5.0,4.70405277,40.0,2.0,3.0,1.0,32.0,0.0,7679.0,0.0,12.0,6.0,12.0,60.0,1.0,0.0,1.0,0.0,115.0,55.0,1.83501684,43368.0,2.0,74.80833333333332,10.0,7.0,178.0
36,Vasili's POD SQUAD,4,Away,202.35,Brown Shoes w/ a Black Belt?,187.2,-1,AWAY,5.0,202.34999999999997,11.0,31.0,26090.58333333,49.0,8.0,123.0,133.0,16.0,19.0,18.688809130000003,57.0,6.0,2.0,1.0,64.0,2.0,21949.0,2.0,26.0,5.0,14.0,192.0,1.0,0.0,1.0,0.0,149.0,173.0,5.40471026,67637.0,2.0,87.79166666666666,12.0,10.0,96.0
37,Carolina Tony,4,Away,255.85,Esther Island Esthers,214.5,-1,AWAY,1.0,255.85000000000002,-5.0,29.0,22932.41666666,37.0,7.0,173.0,209.0,23.0,10.0,6.52623803,59.0,6.0,4.0,0.0,55.0,1.0,21675.0,1.0,28.0,6.0,16.0,207.0,0.0,1.0,1.0,1.0,152.0,197.0,3.8202563899999995,67089.0,4.0,103.89999999999999,12.0,11.0,17.0
38,Baltimore Bandits,4,Away,192.15,HC FirePucks,169.35,-1,AWAY,6.0,192.15,1.0,26.0,23962.33333333,45.0,6.0,181.0,189.0,16.0,19.0,17.62324599,55.0,6.0,1.0,1.0,45.0,1.0,21827.0,2.0,16.0,2.0,15.0,176.0,0.0,0.0,0.0,0.0,140.0,157.0,4.45391084,65516.0,3.0,80.50416666666665,8.0,7.0,113.0
39,That Hoser Over There,4,Away,206.65,Team Ginsberg,251.1,-1,HOME,4.0,206.64999999999992,21.0,29.0,24863.333333330003,37.0,15.0,148.0,162.0,21.0,15.0,11.50114368,58.0,4.0,5.0,1.0,87.0,2.0,14366.0,0.0,22.0,5.0,11.0,106.0,0.0,0.0,0.0,0.0,160.0,91.0,2.58006645,71345.0,2.0,74.62083333333331,10.0,7.0,85.0
40,Brown Shoes w/ a Black Belt?,5,Home,158.95,Esther Island Esthers,183.1,-1,AWAY,9.0,158.95,-6.0,21.0,23161.58333333,35.0,3.0,101.0,112.0,15.0,16.0,8.97376924,59.0,5.0,5.0,0.0,56.0,3.0,18114.0,1.0,32.0,5.0,11.0,152.0,1.0,1.0,2.0,0.0,149.0,136.0,2.67235602,66225.0,1.0,55.508333333333326,6.0,4.0,176.0
41,Lausanne  Automatons ,5,Home,163.1,HC FirePucks,162.35,-1,HOME,7.0,163.09999999999997,7.0,25.0,21176.58333334,42.0,9.0,80.0,78.0,12.0,11.0,7.101556599999999,60.0,5.0,2.0,0.0,75.0,4.0,17820.0,0.0,38.0,5.0,16.0,130.0,1.0,0.0,1.0,0.0,151.0,119.0,2.7458343000000003,69120.0,1.0,50.77916666666667,8.0,4.0,169.0
42,DadKnows Best,5,Home,111.7,Team Ginsberg,203.1,-1,AWAY,10.0,111.69999999999999,-4.0,19.0,14140.83333334,20.0,4.0,86.0,92.0,10.0,4.0,3.20569902,38.0,1.0,2.0,0.0,36.0,1.0,4492.0,1.0,14.0,2.0,8.0,43.0,0.0,0.0,0.0,0.0,110.0,39.0,0.90697674,41394.0,0.0,35.0625,6.0,3.0,221.0
43,Vasili's POD SQUAD,5,Home,199.8,Baltimore Bandits,239.65,-1,AWAY,4.0,199.8,5.0,25.0,24465.24999999,42.0,8.0,204.0,171.0,16.0,14.0,10.013390439999998,60.0,7.0,5.0,0.0,54.0,1.0,25322.0,1.0,27.0,0.0,6.0,180.0,0.0,0.0,0.0,0.0,154.0,166.0,4.59284231,74273.0,5.0,83.56666666666668,13.0,11.0,100.0
44,Carolina Tony,5,Home,258.1,That Hoser Over There,189.3,-1,HOME,1.0,258.1,20.0,30.0,22340.66666667,33.0,10.0,197.0,206.0,23.0,15.0,6.57819177,58.0,7.0,6.0,0.0,51.0,1.0,25595.0,1.0,18.0,9.0,17.0,224.0,0.0,0.0,0.0,1.0,147.0,209.0,2.79385752,66048.0,5.0,89.90416666666667,12.0,9.0,15.0
45,Esther Island Esthers,5,Away,183.1,Brown Shoes w/ a Black Belt?,158.95,-1,AWAY,6.0,183.10000000000005,-19.0,21.0,25352.50000001,41.0,17.0,119.0,155.0,17.0,26.0,11.913084679999999,60.0,7.0,2.0,0.0,78.0,3.0,26053.0,2.0,26.0,6.0,13.0,243.0,1.0,0.0,1.0,0.0,152.0,217.0,2.67000956,69763.0,2.0,69.14583333333333,10.0,5.0,133.0
46,HC FirePucks,5,Away,162.35,Lausanne  Automatons ,163.1,-1,HOME,8.0,162.34999999999997,10.0,15.0,18587.16666667,24.0,9.0,100.0,94.0,14.0,14.0,7.79445507,45.0,6.0,3.0,0.0,26.0,1.0,21783.0,0.0,10.0,4.0,10.0,179.0,0.0,0.0,0.0,0.0,111.0,165.0,2.74866873,51673.0,5.0,62.2,8.0,7.0,171.0
47,Team Ginsberg,5,Away,203.1,DadKnows Best,111.7,-1,AWAY,3.0,203.1,-1.0,29.0,24061.91666667,30.0,9.0,119.0,115.0,14.0,18.0,14.18364767,56.0,6.0,1.0,0.0,53.0,1.0,19975.0,0.0,18.0,3.0,11.0,190.0,0.0,1.0,1.0,0.0,165.0,172.0,2.62269316,66401.0,5.0,69.66666666666669,12.0,7.0,94.0
48,Baltimore Bandits,5,Away,239.65,Vasili's POD SQUAD,199.8,-1,AWAY,2.0,239.65,6.0,32.0,23859.33333332,48.0,4.0,169.0,201.0,14.0,17.0,10.00731015,65.0,7.0,2.0,0.0,53.0,0.0,25172.0,0.0,30.0,4.0,12.0,230.0,2.0,0.0,2.0,1.0,150.0,213.0,3.68063884,77644.0,7.0,87.86249999999998,11.0,8.0,36.0
49,That Hoser Over There,5,Away,189.3,Carolina Tony,258.1,-1,HOME,5.0,189.30000000000004,5.0,26.0,24219.16666666,53.0,7.0,117.0,156.0,14.0,12.0,8.80621121,62.0,5.0,3.0,0.0,70.0,1.0,18198.0,1.0,26.0,2.0,11.0,153.0,1.0,0.0,1.0,0.0,140.0,141.0,2.7300947300000002,76098.0,3.0,62.920833333333334,7.0,5.0,120.0
50,Team Ginsberg,6,Home,228.15,Baltimore Bandits,183.45,-1,HOME,1.0,228.15000000000003,7.0,26.0,23940.0,46.0,13.0,161.0,127.0,26.0,19.0,11.09699687,65.0,7.0,7.0,0.0,69.0,5.0,26069.0,1.0,57.0,6.0,15.0,216.0,0.0,0.0,0.0,0.0,188.0,197.0,3.6330950599999996,78452.0,1.0,70.79999999999998,12.0,8.0,52.0
51,That Hoser Over There,6,Home,183.85,Vasili's POD SQUAD,191.8,-1,AWAY,4.0,183.84999999999997,9.0,22.0,24304.833333309998,35.0,6.0,155.0,171.0,15.0,17.0,7.7440737099999994,58.0,6.0,3.0,0.0,82.0,2.0,23467.0,1.0,49.0,4.0,9.0,199.0,0.0,0.0,0.0,0.0,161.0,182.0,2.74474242,70879.0,3.0,66.00833333333334,11.0,4.0,130.0
52,Carolina Tony,6,Home,189.7,Lausanne  Automatons ,135.55,-1,HOME,3.0,189.70000000000002,7.0,26.0,25812.33333334,30.0,10.0,188.0,168.0,12.0,15.0,7.8256844,57.0,7.0,0.0,0.0,75.0,3.0,25093.0,0.0,35.0,3.0,10.0,207.0,0.0,1.0,1.0,1.0,147.0,192.0,2.77105634,67435.0,4.0,73.80416666666665,9.0,6.0,118.0
53,DadKnows Best,6,Home,123.35,Brown Shoes w/ a Black Belt?,150.4,-1,AWAY,10.0,123.35,-6.0,13.0,20039.08333333,23.0,1.0,132.0,154.0,11.0,2.0,2.0,53.0,1.0,2.0,0.0,40.0,0.0,5388.0,0.0,29.0,3.0,10.0,42.0,0.0,0.0,0.0,0.0,145.0,40.0,1.9285714299999999,56048.0,1.0,,8.0,4.0,214.0
54,Esther Island Esthers,6,Home,162.6,HC FirePucks,133.45,-1,HOME,6.0,162.60000000000002,-9.0,12.0,24198.25,53.0,4.0,135.0,173.0,19.0,18.0,8.45311732,61.0,6.0,2.0,0.0,62.0,4.0,21379.0,0.0,30.0,5.0,7.0,165.0,0.0,2.0,2.0,0.0,162.0,147.0,2.67575582,70249.0,2.0,51.22083333333333,8.0,4.0,170.0
55,Baltimore Bandits,6,Away,183.45,Team Ginsberg,228.15,-1,HOME,5.0,183.45000000000005,3.0,27.0,22600.33333333,42.0,8.0,162.0,175.0,15.0,18.0,14.333980190000002,58.0,6.0,2.0,0.0,58.0,3.0,18549.0,1.0,28.0,4.0,11.0,182.0,1.0,0.0,1.0,1.0,137.0,164.0,3.61664565,69514.0,2.0,69.92083333333333,7.0,5.0,132.0
56,Vasili's POD SQUAD,6,Away,191.8,That Hoser Over There,183.85,-1,AWAY,2.0,191.79999999999995,11.0,33.0,23486.16666665,36.0,9.0,150.0,133.0,12.0,17.0,14.781486359999999,58.0,7.0,2.0,0.0,56.0,3.0,24924.0,0.0,10.0,2.0,10.0,206.0,0.0,0.0,0.0,0.0,136.0,189.0,5.43732636,66431.0,4.0,82.89166666666668,12.0,8.0,114.0
57,Lausanne  Automatons ,6,Away,135.55,Carolina Tony,189.7,-1,HOME,8.0,135.55000000000004,0.0,14.0,17802.08333333,36.0,3.0,56.0,52.0,5.0,9.0,3.8319744499999997,47.0,5.0,0.0,0.0,81.0,0.0,18033.0,1.0,46.0,1.0,4.0,181.0,0.0,1.0,1.0,1.0,92.0,172.0,1.89559748,51217.0,4.0,51.43333333333334,5.0,4.0,200.0
58,Brown Shoes w/ a Black Belt?,6,Away,150.4,DadKnows Best,123.35,-1,AWAY,7.0,150.4,-9.0,20.0,20139.33333334,41.0,3.0,105.0,118.0,11.0,8.0,5.93939394,55.0,3.0,2.0,1.0,61.0,0.0,11025.0,1.0,39.0,2.0,7.0,105.0,0.0,0.0,0.0,0.0,131.0,97.0,1.83682984,62212.0,2.0,58.05833333333334,8.0,5.0,185.0
59,HC FirePucks,6,Away,133.45,Esther Island Esthers,162.6,-1,HOME,9.0,133.45000000000002,15.0,21.0,16958.58333333,20.0,11.0,109.0,71.0,16.0,16.0,12.120901700000001,37.0,5.0,4.0,0.0,27.0,5.0,13900.0,0.0,8.0,5.0,9.0,140.0,1.0,0.0,1.0,0.0,104.0,124.0,2.6780614700000003,39502.0,0.0,52.96666666666667,8.0,4.0,205.0
60,Vasili's POD SQUAD,7,Home,166.35,Team Ginsberg,211.8,-1,AWAY,6.0,166.34999999999997,13.0,28.0,23598.25000001,48.0,8.0,144.0,155.0,14.0,16.0,11.41389087,56.0,6.0,3.0,0.0,49.0,3.0,18178.0,0.0,54.0,1.0,6.0,135.0,0.0,1.0,1.0,0.0,144.0,119.0,3.58473389,66916.0,2.0,62.5625,13.0,3.0,162.0
61,Lausanne  Automatons ,7,Home,148.35,That Hoser Over There,144.1,-1,HOME,7.0,148.35,-8.0,15.0,18387.91666667,51.0,10.0,80.0,80.0,14.0,15.0,7.7345849399999995,47.0,6.0,2.0,0.0,74.0,3.0,19771.0,0.0,37.0,2.0,4.0,139.0,0.0,1.0,1.0,0.0,135.0,124.0,2.68898221,54183.0,3.0,48.4125,8.0,3.0,188.0
62,Brown Shoes w/ a Black Belt?,7,Home,145.4,Carolina Tony,242.3,-1,AWAY,8.0,145.4,0.0,30.0,20574.83333333,29.0,7.0,107.0,95.0,10.0,10.0,8.22634508,58.0,3.0,2.0,0.0,55.0,2.0,10068.0,0.0,44.0,0.0,5.0,91.0,0.0,0.0,0.0,0.0,141.0,81.0,1.76060606,63714.0,1.0,47.50416666666666,9.0,4.0,192.0
