"Player","Pos","Season","Team","GP","TOI","ATOI","G","A","Pts","SOG","BLK","HIT","PPP","SHP","W","SV","GA","FPV","FPV Adj","Pos Rank"
"Filip Chlapik","F","21-22","-",21,223,10.6,3,4,7,25,8,28,1,0,0,0,0,28,-79,478
"Kenny Agostino","F","21-22","-",21,198,9.4,2,5,7,24,7,34,1,0,0,0,0,28,-79,477
"Jesse Ylonen","F","21-22","-",37,545,14.7,2,4,6,38,6,22,2,0,0,0,0,29,-79,474
"Rem Pitlick","F","21-22","NSH",30,331,11,3,3,6,43,10,15,0,0,0,0,0,28,-79,482
"Mackenzie Entwistle","F","21-22","CHI",37,441,11.9,3,3,6,30,5,40,0,0,0,0,0,28,-79,481
"Kole Sherwood","F","21-22","OTT",27,268,9.9,3,3,6,26,8,45,0,0,0,0,0,28,-79,483
"Givani Smith","F","21-22","DET",32,329,10.3,2,4,5,48,5,53,1,0,0,0,0,28,-79,480
"Lane Pederson","F","21-22","S.J",37,427,11.5,1,4,5,45,3,64,2,0,0,0,0,29,-79,475
"Malcolm Subban","G","21-22","CHI",0,0,0,0,0,0,0,0,0,0,0,9,383,47,73,-80,74
"Alexei Melnichuk","G","21-22","S.J",0,0,0,0,0,0,0,0,0,0,0,8,357,40,73,-80,73
"Loui Eriksson","F","21-22","ARI",25,286,11.5,3,4,7,23,10,10,0,0,0,0,0,27,-80,490
"Par Lindholm","F","21-22","-",26,373,14.3,2,5,7,27,15,6,0,0,0,0,0,27,-80,493
"Tyler Graovac","F","21-22","-",27,252,9.3,3,4,7,27,11,6,0,0,0,0,0,27,-80,491
"David Kase","F","21-22","PHI",31,420,13.6,3,2,5,44,10,6,3,0,0,0,0,27,-80,492
"Timothy Gettinger","F","21-22","NYR",26,290,11.2,3,4,6,28,13,22,0,0,0,0,0,28,-80,485
"Morgan Frost","F","21-22","PHI",31,355,11.4,2,4,6,44,5,11,1,0,0,0,0,27,-80,494
"Ivan Chekhovich","F","21-22","-",32,379,11.8,3,4,6,40,5,21,0,0,0,0,0,27,-80,487
"Klim Kostin","F","21-22","STL",31,386,12.5,3,3,6,34,7,37,0,0,0,0,0,27,-80,489
"Tyce Thompson","F","21-22","N.J",34,377,11.1,3,3,6,40,5,38,0,0,0,0,0,28,-80,484
"Michael Dal Colle","F","21-22","-",31,329,10.6,3,2,4,35,11,49,0,0,0,0,0,27,-80,486
"Kole Lind","F","21-22","-",36,456,12.7,2,3,5,35,10,40,1,0,0,0,0,27,-80,488
"Frans Nielsen","F","21-22","-",36,414,11.5,0,5,6,38,19,28,0,2,0,0,0,26,-81,500
"Frederik Gauthier","F","21-22","-",25,199,8,3,3,6,23,11,19,0,0,0,0,0,26,-81,497
"Martin Frk","F","21-22","L.A",16,185,11.6,3,3,6,30,8,17,1,0,0,0,0,26,-81,499
"Michael Frolik","F","21-22","-",30,352,11.7,3,3,6,38,6,17,0,0,0,0,0,26,-81,496
"Maksim Sushko","F","21-22","PHI",28,312,11.1,2,3,6,37,12,19,0,0,0,0,0,26,-81,498
"Martin Kaut","F","21-22","COL",28,282,10.1,2,3,6,34,10,23,0,0,0,0,0,26,-81,501
"Steven Lorentz","F","21-22","CAR",46,510,11.1,1,4,5,41,15,60,0,0,0,0,0,27,-81,495
"Hunter Miska","G","21-22","COL",0,0,0,0,0,0,0,0,0,0,0,7,329,29,71,-82,75
"Mikko Koivu","F","21-22","-",30,366,12.2,2,5,7,22,12,6,0,1,0,0,0,25,-82,502
"Mitchell Stephens","F","21-22","DET",28,309,11,3,1,5,28,6,32,0,0,0,0,0,25,-82,505
"Patrick Russell","F","21-22","-",26,277,10.6,2,3,5,30,12,35,0,0,0,0,0,25,-82,504
"Connor McMichael","F","21-22","WSH",37,486,13.1,3,3,6,36,4,20,0,0,0,0,0,25,-82,503
"Dan Vladar","G","21-22","CGY",0,0,0,0,0,0,0,0,0,0,0,7,349,33,70,-83,76
"Adam Brooks","F","21-22","TOR",26,264,10.2,3,3,5,28,12,17,0,0,0,0,0,25,-83,506
"Stefan Noesen","F","21-22","CAR",20,195,9.7,3,2,5,25,8,22,0,0,0,0,0,24,-83,513
"A.J. Greer","F","21-22","N.J",29,297,10.3,3,3,6,24,9,12,0,0,0,0,0,24,-83,514
"Jackson Cates","F","21-22","PHI",27,295,10.9,3,3,6,29,11,5,0,0,0,0,0,24,-83,510
"Vinni Lettieri","F","21-22","ANA",22,248,11.3,2,3,4,36,10,26,2,0,0,0,0,24,-83,508
"Kristian Vesalainen","F","21-22","WPG",31,313,10.1,2,3,5,30,7,23,0,0,0,0,0,24,-83,511
"Dakota Joshua","F","21-22","STL",30,308,10.3,2,3,5,24,11,46,0,0,0,0,0,25,-83,507
"Lean Bergmann","F","21-22","-",36,455,12.6,2,3,5,35,4,31,0,0,0,0,0,24,-83,512
"Zack MacEwen","F","21-22","VAN",35,322,9.2,1,2,3,39,4,105,0,0,0,0,0,24,-83,509
"Brad Richardson","F","21-22","-",30,357,11.9,2,3,4,34,21,18,0,1,0,0,0,24,-84,515
"Antti Suomela","F","21-22","-",18,191,10.6,2,3,5,19,16,29,0,1,0,0,0,23,-84,519
"Tanner Laczynski","F","21-22","PHI",27,296,11,3,2,5,25,8,20,0,1,0,0,0,23,-84,518
"Alex True","F","21-22","SEA",32,354,11.1,3,1,4,33,10,21,0,0,0,0,0,23,-84,521
"Joachim Blichfeld","F","21-22","S.J",30,311,10.4,3,2,5,35,9,5,1,0,0,0,0,23,-84,520
"Ross Johnston","F","21-22","NYI",24,198,8.3,2,2,4,15,11,74,0,0,0,0,0,24,-84,516
"Carsen Twarynski","F","21-22","SEA",30,302,10.1,3,1,3,24,11,51,0,0,0,0,0,23,-84,522
"Sam Carrick","F","21-22","ANA",29,349,12,2,2,4,28,10,40,0,0,0,0,0,23,-84,523
"Dominik Simon","F","21-22","PIT",39,475,12.2,2,5,6,39,2,19,0,0,0,0,0,24,-84,517
"Jonas Johansson","G","21-22","COL",0,0,0,0,0,0,0,0,0,0,0,6,378,37,68,-85,77
"Joel Kellman","F","21-22","S.J",25,269,10.8,2,3,5,28,13,9,0,1,0,0,0,22,-85,526
"Anton Blidh","F","21-22","BOS",21,216,10.3,2,2,4,24,14,45,0,1,0,0,0,23,-85,524
"Justin Dowling","F","21-22","VAN",24,256,10.7,2,3,5,30,7,17,0,0,0,0,0,22,-85,531
"Luke Johnson","F","21-22","WPG",21,237,11.3,2,2,5,14,9,42,0,0,0,0,0,22,-85,527
"Clark Bishop","F","21-22","OTT",23,222,9.7,2,3,5,20,11,20,0,0,0,0,0,22,-85,528
"Michael Amadio","F","21-22","TOR",38,436,11.5,1,3,3,48,16,0,3,0,0,0,0,22,-85,525
"Josh Dunne","F","21-22","-",29,333,11.5,2,2,4,39,7,38,0,0,0,0,0,22,-85,529
"Phillip Di Giuseppe","F","21-22","VAN",36,377,10.5,0,2,2,35,15,88,0,0,0,0,0,22,-85,530
"Drake Rymsha","F","21-22","-",32,496,15.5,3,2,5,26,7,9,0,0,0,0,0,21,-86,532
"Max McCormick","F","21-22","-",16,123,7.7,2,3,5,17,8,31,0,0,0,0,0,21,-86,535
"Marc Michaelis","F","21-22","-",22,221,10,2,3,5,19,13,24,0,0,0,0,0,21,-86,533
"Liam O'Brien","F","21-22","-",21,145,6.9,2,3,5,12,5,51,0,0,0,0,0,21,-86,536
"Tanner Kero","F","21-22","DAL",43,461,10.7,2,2,4,26,15,20,0,0,0,0,0,21,-86,534
"Nathan Gerbe","F","21-22","CBJ",23,239,10.4,2,2,4,22,11,13,0,1,0,0,0,20,-87,546
"Cameron Hughes","F","21-22","BOS",33,576,17.5,3,1,3,24,18,7,0,1,0,0,0,20,-87,542
"Byron Froese","F","21-22","CGY",20,194,9.7,2,2,4,16,15,25,0,1,0,0,0,20,-87,540
"Josh Currie","F","21-22","-",22,223,10.1,1,2,4,27,10,25,0,1,0,0,0,20,-87,545
"Brandon Pirri","F","21-22","-",24,314,13.1,2,2,4,25,8,16,2,0,0,0,0,21,-87,538
"Austin Czarnik","F","21-22","NYI",18,197,10.9,2,3,4,26,13,13,1,0,0,0,0,21,-87,537
"Brian Pinho","F","21-22","WSH",16,145,9.1,2,3,5,21,8,21,0,0,0,0,0,20,-87,543
"Mathias Brome","F","21-22","-",31,357,11.5,2,1,3,33,13,17,1,0,0,0,0,20,-87,544
"Samuel Morin","F","21-22","PHI",22,228,10.4,2,2,4,17,14,36,0,0,0,0,0,20,-87,539
"Jansen Harkins","F","21-22","WPG",29,285,9.8,2,3,5,37,9,6,0,0,0,0,0,20,-87,541
"Gaetan Haas","F","21-22","-",43,452,10.5,0,1,1,24,35,43,0,1,0,0,0,19,-88,551
"Dylan Sikura","F","21-22","COL",18,181,10.1,2,2,4,16,7,28,0,0,0,0,0,19,-88,555
"C.J. Smith","F","21-22","CAR",17,185,10.9,2,2,4,14,7,32,0,0,0,0,0,19,-88,550
"Dominic Toninato","F","21-22","WPG",27,300,11.1,2,2,4,15,10,26,0,0,0,0,0,19,-88,554
"Cole Smith","F","21-22","NSH",22,218,9.9,2,3,4,20,8,25,0,0,0,0,0,20,-88,547
"Stefan Matteau","F","21-22","COL",22,233,10.6,1,2,4,19,13,35,0,0,0,0,0,19,-88,548
"Gerald Mayhew","F","21-22","PHI",24,242,10.1,1,3,5,25,10,12,0,0,0,0,0,19,-88,549
"Nic Petan","F","21-22","VAN",21,222,10.6,2,2,4,25,7,25,0,0,0,0,0,19,-88,553
"Joseph Cramarossa","F","21-22","MIN",27,273,10.1,2,2,3,18,10,44,0,0,0,0,0,19,-88,552
"Kurtis Gabriel","F","21-22","TOR",19,142,7.5,1,2,3,12,9,68,0,0,0,0,0,19,-88,556
"Kasimir Kaskisuo","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,7,313,34,63,-89,78
"Hudson Fasching","F","21-22","ARI",19,188,9.9,2,2,4,16,7,28,1,0,0,0,0,18,-89,562
"Tomas Jurco","F","21-22","-",20,187,9.3,2,2,4,21,8,19,0,0,0,0,0,18,-89,559
"Greg McKegg","F","21-22","NYR",20,196,9.8,2,2,4,14,9,22,0,0,0,0,0,18,-89,561
"Joakim Nygard","F","21-22","-",27,262,9.7,2,3,5,25,8,4,0,0,0,0,0,19,-89,558
"Fredrik Handemark","F","21-22","-",24,247,10.3,2,3,4,18,9,17,0,0,0,0,0,18,-89,560
"Michael McCarron","F","21-22","NSH",21,203,9.7,1,2,4,25,9,26,0,0,0,0,0,19,-89,557
"Nate Thompson","F","21-22","PHI",41,435,10.6,0,1,1,24,28,57,0,1,0,0,0,18,-90,563
"Kyle Rau","F","21-22","MIN",24,223,9.3,1,2,4,20,12,15,0,0,0,0,0,17,-90,567
"Riley Nash","F","21-22","WPG",44,506,11.4,0,1,2,29,30,31,0,1,0,0,0,18,-90,564
"Steven Fogarty","F","21-22","BOS",24,226,9.4,2,2,4,9,14,16,0,0,0,0,0,17,-90,569
"Connor Bunnaman","F","21-22","PHI",41,447,10.9,1,1,1,33,11,58,0,1,0,0,0,17,-90,565
"Philippe Maillet","F","21-22","-",20,198,9.9,1,2,4,17,9,18,0,0,0,0,0,17,-90,568
"Michael Sgarbossa","F","21-22","WSH",16,168,10.5,1,3,4,20,6,16,1,0,0,0,0,17,-90,570
"Oskar Steen","F","21-22","BOS",34,431,12.7,1,2,3,38,7,22,0,0,0,0,0,17,-90,566
"Cayden Primeau","G","21-22","MTL",0,0,0,0,0,0,0,0,0,0,0,8,283,36,62,-91,79
"Jay Beagle","F","21-22","ARI",36,404,11.2,0,0,0,31,25,55,0,1,0,0,0,17,-91,571
"Michael Chaput","F","21-22","PIT",15,139,9.3,1,2,3,11,12,28,0,0,0,0,0,16,-91,579
"Daniel Carr","F","21-22","-",26,266,10.2,1,3,4,19,11,9,0,0,0,0,0,17,-91,573
"Nathan Walker","F","21-22","STL",23,258,11.2,1,2,3,14,14,12,0,0,0,0,0,16,-91,578
"Ryan MacInnis","F","21-22","BUF",25,262,10.5,1,2,3,24,7,18,0,0,0,0,0,17,-91,574
"Jonny Brodzinski","F","21-22","NYR",22,207,9.4,1,2,4,19,7,20,0,0,0,0,0,16,-91,575
"Alex Barabanov","F","21-22","S.J",35,402,11.5,1,2,3,31,12,0,1,0,0,0,0,17,-91,572
"Matthew Phillips","F","21-22","-",36,583,16.2,0,2,2,34,9,14,3,0,0,0,0,16,-91,577
"Rhett Gardner","F","21-22","DAL",38,389,10.2,0,1,1,31,12,75,0,0,0,0,0,16,-91,576
"Zac Dalpe","F","21-22","FLA",24,249,10.4,2,2,3,16,11,6,0,0,0,0,0,15,-92,583
"Sheldon Dries","F","21-22","VAN",14,126,9,2,2,3,12,7,24,0,0,0,0,0,16,-92,580
"Gemel Smith","F","21-22","T.B",18,169,9.4,1,2,4,13,8,21,0,0,0,0,0,16,-92,582
"Sheldon Rempal","F","21-22","VAN",21,198,9.4,1,2,3,14,7,19,0,0,0,0,0,15,-92,585
"Austin Poganski","F","21-22","WPG",20,173,8.7,1,2,3,14,5,17,0,0,0,0,0,15,-92,584
"Sean Malone","F","21-22","BUF",26,332,12.8,2,2,4,21,7,0,0,0,0,0,0,15,-92,586
"Scott Sabourin","F","21-22","OTT",14,99,7,1,2,3,14,5,37,0,0,0,0,0,16,-92,581
"Alex Belzile","F","21-22","MTL",20,208,10.4,1,2,3,21,7,13,0,0,0,0,0,15,-92,587
"Craig Anderson","G","21-22","BUF",0,0,0,0,0,0,0,0,0,0,0,5,316,30,59,-93,80
"Chase De Leo","F","21-22","N.J",25,386,15.4,1,2,3,15,10,4,0,0,0,0,0,14,-93,590
"Andy Andreoff","F","21-22","-",16,135,8.5,1,2,3,13,7,29,0,0,0,0,0,15,-93,588
"Justin Bailey","F","21-22","VAN",18,148,8.2,1,2,3,14,5,17,0,0,0,0,0,14,-93,593
"Buddy Robinson","F","21-22","ANA",15,134,8.9,1,2,3,12,7,25,0,0,0,0,0,14,-93,594
"Matthew Peca","F","21-22","STL",18,182,10.1,1,2,3,15,7,26,0,0,0,0,0,14,-93,589
"Daniel Walcott","F","21-22","-",24,288,12,1,2,3,20,8,11,0,0,0,0,0,14,-93,591
"Jayson Megna","F","21-22","COL",24,221,9.2,1,2,3,19,7,14,0,0,0,0,0,14,-93,592
"Eric Comrie","G","21-22","WPG",0,0,0,0,0,0,0,0,0,0,0,8,254,31,58,-94,81
"Garrett Pilon","F","21-22","-",34,448,13.2,0,1,2,37,7,14,0,0,0,0,0,13,-94,598
"Drew Shore","F","21-22","-",16,153,9.6,1,2,3,13,9,14,0,0,0,0,0,14,-94,595
"Andrew Agozzino","F","21-22","OTT",20,200,10,1,1,2,12,12,22,0,0,0,0,0,13,-94,597
"Patrick Brown","F","21-22","VGK",19,185,9.7,1,2,3,9,6,24,0,0,0,0,0,13,-94,600
"Zac Rinaldo","F","21-22","CBJ",11,80,7.3,1,1,2,14,5,36,0,0,0,0,0,14,-94,596
"Micheal Haley","F","21-22","-",13,79,6.1,1,1,2,16,5,33,0,0,0,0,0,13,-94,599
"Marcus Hogberg","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,7,404,59,58,-95,82
"Jean-Sebastien Dea","F","21-22","-",14,119,8.5,1,1,3,11,4,15,0,0,0,0,0,12,-95,602
"Justin Richards","F","21-22","-",34,437,12.8,1,2,3,26,2,8,0,0,0,0,0,12,-95,601
"Oscar Dansk","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,5,256,25,52,-100,84
"Maxime Lagace","G","21-22","T.B",0,0,0,0,0,0,0,0,0,0,0,4,278,24,52,-100,83
"Ryan Miller","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,7,325,49,51,-101,86
"Dustin Tokarski","G","21-22","BUF",0,0,0,0,0,0,0,0,0,0,0,7,383,61,51,-101,85
"Scott Wedgewood","G","21-22","N.J",0,0,0,0,0,0,0,0,0,0,0,4,299,31,47,-105,87
"Josef Korenar","G","21-22","ARI",0,0,0,0,0,0,0,0,0,0,0,4,300,35,46,-107,88
"Stuart Skinner","G","21-22","EDM",0,0,0,0,0,0,0,0,0,0,0,5,208,24,45,-108,89
"Brian Elliott","G","21-22","T.B",0,0,0,0,0,0,0,0,0,0,0,8,207,39,44,-109,90
"Spencer Knight","G","21-22","FLA",0,0,0,0,0,0,0,0,0,0,0,5,245,33,42,-111,91
"Curtis McElhinney","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,4,249,33,36,-116,92
"Michael Houser","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,2,199,20,32,-120,93
"Anton Forsberg","G","21-22","OTT",0,0,0,0,0,0,0,0,0,0,0,4,172,31,24,-128,94
"Troy Grosenick","G","21-22","BOS",0,0,0,0,0,0,0,0,0,0,0,3,129,20,23,-130,95
"Aaron Dell","G","21-22","BUF",0,0,0,0,0,0,0,0,0,0,0,4,211,38,22,-131,96
"Louis Domingue","G","21-22","PIT",0,0,0,0,0,0,0,0,0,0,0,3,111,24,13,-139,97
"Carter Hutton","G","21-22","ARI",0,0,0,0,0,0,0,0,0,0,0,3,153,37,7,-146,98
"Alex Lyon","G","21-22","CAR",0,0,0,0,0,0,0,0,0,0,0,3,105,36,2,-150,99
"Calvin Pickard","G","21-22","DET",0,0,0,0,0,0,0,0,0,0,0,3,40,23,0,-152,100
"Chris Gibson","G","21-22","FLA",0,0,0,0,0,0,0,0,0,0,0,2,41,20,0,-152,101
